Tipo de Inmueble,Direccion,Area Construida,Area Total,Pisos,dormitorios,baños,Cochera,Precio Soles,Precio Dolares
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Comas",Área Construida : 123.00 m²,Área Ocupada : 0.00 m²,Pisos : 1,Habitaciones : 1,Baños : 1,Cocheras : 1,"S/. 1,500.00",USD 403.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 126.00 m²,Área Ocupada : 82.19 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 537,950.00","USD 145,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 358.00 m²,Área Ocupada : 520.00 m²,Pisos : 11,Habitaciones : 4,Baños : 4,Cocheras : 3,"S/. 3'524,500.00","USD 950,000.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Monsefu","Área Terreno : 11,200.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 289,380.00","USD 78,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 167.86 m2,Área Construida : 242.18 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 1'836,450.00","USD 495,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, La Molina",Área Construida : 95.19 m²,Área Ocupada : 95.19 m²,Pisos : 2,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 2,226.00",USD 600.00
LOCAL EN ALQUILER,"Lima, Lima, Ate",Área Construida : 400.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 6,Baños : 2,Cocheras : 2,"S/. 8,000.00","USD 2,150.00"
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 5.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 85,330.00","USD 23,000.00"
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",Área Terreno : 200.00 m2,Área Construida : 240.00 m²,Pisos : 2,Habitaciones : 8,Baños : 3,Cocheras : 1,"S/. 556,500.00","USD 150,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Breña",Área Construida : 45.00 m²,Área Ocupada : 10.00 m²,Pisos : 4,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 1,100.00",USD 295.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 57.50 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 1,Cocheras : 1,"S/. 289,380.00","USD 78,000.00"
TERRENO EN VENTA,"Lima, Lima, Lurin",Área Terreno : 200.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 241,150.00","USD 65,000.00"
CASA DE CAMPO EN ALQUILER,"La Libertad, Trujillo, Moche","Área Terreno : 2,000.00 m2",Área Construida : 100.00 m²,Pisos : 1,Habitaciones : 3,Baños : 1,Cocheras : 4,"S/. 5,500.00","USD 1,478.00"
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 5.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 74,200.00","USD 20,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Miraflores",Área Construida : 78.00 m²,Área Ocupada : 78.00 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 192,920.00","USD 52,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 167.86 m2,Área Construida : 242.18 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 1'836,450.00","USD 495,000.00"
CASA EN VENTA,"Piura, Piura, Castilla",Área Terreno : 240.00 m2,Área Construida : 310.00 m²,Pisos : 2,Habitaciones : 6,Baños : 6,Cocheras : 1,"S/. 742,000.00","USD 200,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 161.76 m²,Área Ocupada : 161.76 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 1'013,201.00","USD 273,100.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",Área Construida : 60.51 m²,Área Ocupada : 60.51 m²,Pisos : 13,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 399,000.00","USD 107,258.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, La Molina",Área Construida : 62.93 m²,Área Ocupada : 62.93 m²,Pisos : 0,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 307,930.00","USD 83,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",Área Construida : 65.00 m²,Área Ocupada : 65.00 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 281,960.00","USD 76,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 107.65 m²,Área Ocupada : 107.65 m²,Pisos : 3,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 820,652.00","USD 221,200.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 108.35 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 116,865.00","USD 31,500.00"
TERRENO EN VENTA,"Lima, Lima, Chorrillos",Área Terreno : 320.00 m2,Área Construida : 320.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 2'040,500.00","USD 550,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 134.65 m²,Área Ocupada : 134.65 m²,Pisos : 3,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 972,391.00","USD 262,100.00"
CASA URBANA EN ALQUILER,"Lima, Lima, Los Olivos",Área Terreno : 120.00 m2,Área Construida : 254.00 m²,Pisos : 2,Habitaciones : 4,Baños : 2,Cocheras : 1,"S/. 5,600.00","USD 1,505.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 141.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 146,545.00","USD 39,500.00"
CASA EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 129.00 m2,Área Construida : 222.10 m²,Pisos : 2,Habitaciones : 4,Baños : 2,Cocheras : 1,"S/. 593,600.00","USD 160,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, La Molina",Área Construida : 27.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1,200.00",USD 322.00
TERRENO URBANO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 102.71 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 113,155.00","USD 30,500.00"
LOCAL EN VENTA,"Arequipa, Arequipa, Arequipa",Área Construida : 10.50 m²,Área Ocupada : 0 m²,Pisos : 5,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 92,750.00","USD 25,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lima",Área Construida : 166.10 m²,Área Ocupada : 166.10 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 630,700.00","USD 170,000.00"
TERRENO EN VENTA,"Lima, Lima, Cieneguilla",Área Terreno : 200.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 118,720.00","USD 32,000.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, Ate",Área Construida : 53.71 m²,Área Ocupada : 68.50 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 341,320.00","USD 92,000.00"
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",Área Construida : 70.00 m²,Área Ocupada : 70.00 m²,Pisos : 1,Habitaciones : 2,Baños : 0,Cocheras : 0,"S/. 1,400.00",USD 376.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Comas",Área Construida : 60.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1'966,300.00","USD 530,000.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lima",Área Construida : 90.10 m²,Área Ocupada : 90.10 m²,Pisos : 4,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 278,250.00","USD 75,000.00"
TERRENO URBANO EN VENTA,"Arequipa, Arequipa, Jacobo Hunter",Área Terreno : 374.79 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 426,650.00","USD 115,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, La Molina",Área Construida : 95.19 m²,Área Ocupada : 95.19 m²,Pisos : 2,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 2,226.00",USD 600.00
CASA URBANA EN VENTA,"Arequipa, Arequipa, Jacobo Hunter",Área Terreno : 284.00 m2,Área Construida : 200.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 511,980.00","USD 138,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 141.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 146,545.00","USD 39,500.00"
DEPARTAMENTO EN VENTA,"Lima, Lima, San Juan de Miraflores",Área Construida : 72.50 m²,Área Ocupada : 72.50 m²,Pisos : 4,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 252,280.00","USD 68,000.00"
LOCAL EN ALQUILER,"Lima, Lima, San Martin de Porres",Área Construida : 190.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 4,000.00","USD 1,075.00"
TERRENO INDUSTRIAL EN ALQUILER,"Arequipa, Arequipa, Yura",Área Terreno : 800.00 m2,Área Construida : 10.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1,700.00",USD 456.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 130.82 m²,Área Ocupada : 177.00 m²,Pisos : 3,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 857,010.00","USD 231,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",Área Construida : 61.00 m²,Área Ocupada : 61.00 m²,Pisos : 5,Habitaciones : 3,Baños : 2,Cocheras : 0,S/. 850.00,USD 228.00
OFICINA EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 22.70 m²,Área Ocupada : 22.70 m²,Pisos : 2,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 1,298.00",USD 350.00
CASA DE CAMPO EN ALQUILER,"La Libertad, Trujillo, Moche","Área Terreno : 2,000.00 m2",Área Construida : 100.00 m²,Pisos : 1,Habitaciones : 3,Baños : 1,Cocheras : 4,"S/. 5,500.00","USD 1,478.00"
CASA DE PLAYA EN VENTA,"Lima, Cañete, Cerro Azul",Área Terreno : 160.00 m2,Área Construida : 248.22 m²,Pisos : 2,Habitaciones : 5,Baños : 4,Cocheras : 0,"S/. 626,990.00","USD 169,000.00"
CASA URBANA EN VENTA,"Lima, Lima, Chorrillos",Área Terreno : 212.00 m2,Área Construida : 600.00 m²,Pisos : 3,Habitaciones : 12,Baños : 6,Cocheras : 1,"S/. 600,000.00","USD 161,290.00"
CASA EN VENTA,"Piura, Piura, Castilla",Área Terreno : 240.00 m2,Área Construida : 310.00 m²,Pisos : 2,Habitaciones : 6,Baños : 6,Cocheras : 1,"S/. 742,000.00","USD 200,000.00"
TERRENO EN VENTA,"Lima, Lima, Cieneguilla",Área Terreno : 200.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 118,720.00","USD 32,000.00"
TERRENO EN VENTA,"Puno, San Román, Juliaca",Área Terreno : 225.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 133,560.00","USD 36,000.00"
EDIFICIOS EN VENTA,"Lima, Lima, San Martin de Porres",Área Terreno : 240.00 m2,Área Construida : 433.00 m²,Pisos : 3,Habitaciones : 13,Baños : 0,Cocheras : 0,"S/. 1'113,000.00","USD 300,000.00"
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",Área Terreno : 86.18 m2,Área Construida : 167.97 m²,Pisos : 3,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 908,950.00","USD 245,000.00"
CASA EN ALQUILER,"Lima, Lima, Lima",Área Terreno : 0.00 m2,Área Construida : 0.00 m²,Pisos : 1,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 2,500.00",USD 672.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 5.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 74,200.00","USD 20,000.00"
CASA URBANA EN VENTA,"La Libertad, Trujillo, Moche",Área Terreno : 123.60 m2,Área Construida : 75.60 m²,Pisos : 3,Habitaciones : 5,Baños : 2,Cocheras : 1,"S/. 950,000.00","USD 255,376.00"
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",Área Terreno : 200.00 m2,Área Construida : 240.00 m²,Pisos : 2,Habitaciones : 8,Baños : 3,Cocheras : 1,"S/. 556,500.00","USD 150,000.00"
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Cayma",Área Construida : 43.00 m²,Área Ocupada : 43.00 m²,Pisos : 6,Habitaciones : 1,Baños : 1,Cocheras : 1,"S/. 319,060.00","USD 86,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Cayma",Área Construida : 62.00 m²,Área Ocupada : 62.00 m²,Pisos : 7,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,800.00",USD 483.00
LOCAL COMERCIAL EN VENTA,"Ica, Ica, Ica",Área Construida : 0.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 241,150.00","USD 65,000.00"
LOCAL EN VENTA,"Arequipa, Arequipa, Arequipa",Área Construida : 10.50 m²,Área Ocupada : 0 m²,Pisos : 5,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 92,750.00","USD 25,000.00"
TERRENO INDUSTRIAL EN ALQUILER,"Arequipa, Arequipa, Yura",Área Terreno : 800.00 m2,Área Construida : 10.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1,700.00",USD 456.00
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 5.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 85,330.00","USD 23,000.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Santiago de Surco",Área Construida : 72.75 m²,Área Ocupada : 72.75 m²,Pisos : 4,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 1,500.00",USD 403.00
CASA URBANA EN VENTA,"Junin, Huancayo, El Tambo",Área Terreno : 200.60 m2,Área Construida : 282.15 m²,Pisos : 3,Habitaciones : 10,Baños : 3,Cocheras : 1,"S/. 630,700.00","USD 170,000.00"
TERRENO EN VENTA,"Lima, Cañete, San Antonio",Área Terreno : 160.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 185,500.00","USD 50,000.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Monsefu","Área Terreno : 11,200.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 289,380.00","USD 78,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Miraflores",Área Construida : 78.00 m²,Área Ocupada : 78.00 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 192,920.00","USD 52,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, La Molina",Área Construida : 27.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 1,200.00",USD 322.00
TERRENO EN VENTA,"Arequipa, Arequipa, Cerro Colorado","Área Terreno : 3,875.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 8'625,750.00","USD 2'325,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 135.40 m²,Área Ocupada : 135.40 m²,Pisos : 6,Habitaciones : 3,Baños : 3,Cocheras : 1,"S/. 1'043,103.00","USD 281,160.00"
TERRENO DE PLAYA EN VENTA,"Lima, Cañete, San Antonio",Área Terreno : 160.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 178,080.00","USD 48,000.00"
TERRENO COMERCIAL EN VENTA,"Lima, Lima, La Molina","Área Terreno : 3,285.00 m2",Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 34'125,203.00","USD 9'198,168.00"
OFICINA EN ALQUILER,"Lambayeque, Chiclayo, Chiclayo",Área Construida : 60.00 m²,Área Ocupada : 60.00 m²,Pisos : 3,Habitaciones : 1,Baños : 0,Cocheras : 0,"S/. 1,000.00",USD 268.00
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, Los Olivos",Área Construida : 160.00 m²,Área Ocupada : 0 m²,Pisos : 3,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 3,400.00",USD 913.00
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Ate",Área Construida : 62.19 m²,Área Ocupada : 62.19 m²,Pisos : 2,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 1,750.00",USD 470.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",Área Construida : 61.00 m²,Área Ocupada : 61.00 m²,Pisos : 7,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 298,655.00","USD 80,500.00"
DEPARTAMENTO FLAT EN ALQUILER,"Arequipa, Arequipa, Cayma",Área Construida : 43.00 m²,Área Ocupada : 43.00 m²,Pisos : 6,Habitaciones : 1,Baños : 1,Cocheras : 1,"S/. 2,300.00",USD 618.00
CASA URBANA EN VENTA,"Lima, Prov. Const. Del Callao, Ventanilla",Área Terreno : 137.40 m2,Área Construida : 200.00 m²,Pisos : 2,Habitaciones : 7,Baños : 3,Cocheras : 0,"S/. 252,280.00","USD 68,000.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Pimentel",Área Terreno : 96.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 69,700.00","USD 18,736.00"
CASA DE CAMPO EN VENTA,"Lima, Lima, Cieneguilla","Área Terreno : 1,024.00 m2",Área Construida : 350.00 m²,Pisos : 2,Habitaciones : 5,Baños : 4,Cocheras : 4,"S/. 667,800.00","USD 180,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Pueblo Libre",Área Construida : 68.00 m²,Área Ocupada : 68.00 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 1,"S/. 2,450.00",USD 658.00
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",Área Construida : 44.00 m²,Área Ocupada : 44.00 m²,Pisos : 1,Habitaciones : 1,Baños : 1,Cocheras : 1,"S/. 252,280.00","USD 68,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 39.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 2,968.00",USD 800.00
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Chiclayo",Área Terreno : 542.50 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 2'213,942.00","USD 596,750.00"
CASA URBANA EN VENTA,"Arequipa, Camana, Samuel Pastor",Área Terreno : 270.00 m2,Área Construida : 270.00 m²,Pisos : 1,Habitaciones : 5,Baños : 3,Cocheras : 2,"S/. 593,600.00","USD 160,000.00"
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 61.80 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 664,090.00","USD 179,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, Ate",Área Terreno : 80.00 m2,Área Construida : 80.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 482,300.00","USD 130,000.00"
CASA URBANA EN VENTA,"Lima, Lima, Los Olivos",Área Terreno : 164.00 m2,Área Construida : 164.00 m²,Pisos : 3,Habitaciones : 4,Baños : 4,Cocheras : 1,"S/. 1'075,900.00","USD 290,000.00"
DEPARTAMENTO FLAT EN VENTA,"Junin, Huancayo, Huancayo",Área Construida : 75.30 m²,Área Ocupada : 75.30 m²,Pisos : 1,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 230,000.00","USD 61,827.00"
CASA URBANA EN VENTA,"Lima, Lima, San Borja",Área Terreno : 328.08 m2,Área Construida : 390.00 m²,Pisos : 2,Habitaciones : 4,Baños : 2,Cocheras : 2,"S/. 2'040,500.00","USD 550,000.00"
CASA URBANA EN VENTA,"Lima, Prov. Const. Del Callao, Ventanilla",Área Terreno : 153.00 m2,Área Construida : 300.00 m²,Pisos : 2,Habitaciones : 8,Baños : 7,Cocheras : 1,"S/. 333,900.00","USD 90,000.00"
LOCAL COMERCIAL EN VENTA,"Lima, Lima, Lima",Área Construida : 56.00 m²,Área Ocupada : 0 m²,Pisos : 2,Habitaciones : 1,Baños : 0,Cocheras : 0,"S/. 630,700.00","USD 170,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 50.00 m²,Área Ocupada : 50.00 m²,Pisos : 3,Habitaciones : 2,Baños : 1,Cocheras : 0,"S/. 196,630.00","USD 53,000.00"
TERRENO EN VENTA,"Lima, Huaral, Chancay",Área Terreno : 53.00 ha,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 32'025,194.00","USD 8'632,128.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Pimentel",Área Terreno : 96.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 69,700.00","USD 18,736.00"
LOCAL EN VENTA,"Cusco, Cusco, Cusco",Área Construida : 450.00 m²,Área Ocupada : 0 m²,Pisos : 6,Habitaciones : 14,Baños : 15,Cocheras : 0,"S/. 4'452,000.00","USD 1'200,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Miguel",Área Construida : 84.00 m²,Área Ocupada : 84.00 m²,Pisos : 12,Habitaciones : 3,Baños : 3,Cocheras : 0,"S/. 352,450.00","USD 95,000.00"
LOCAL EN ALQUILER,"Arequipa, Arequipa, Arequipa",Área Construida : 0.00 m²,Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 37,100.00","USD 10,000.00"
LOCAL EN VENTA,"Arequipa, Arequipa, Arequipa","Área Construida : 2,500.00 m²",Área Ocupada : 0 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 14'840,000.00","USD 4'000,000.00"
TERRENO URBANO EN VENTA,"Cusco, Cusco, San Jeronimo",Área Terreno : 350.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 630,700.00","USD 170,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Comas",Área Construida : 165.19 m²,Área Ocupada : 147.19 m²,Pisos : 2,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 412,500.00","USD 110,887.00"
CASA URBANA EN VENTA,"Cusco, Cusco, Cusco",Área Terreno : 284.00 m2,Área Construida : 0.00 m²,Pisos : 3,Habitaciones : 10,Baños : 2,Cocheras : 0,"S/. 2'117,816.00","USD 570,840.00"
TERRENO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 231.24 m2,Área Construida : 231.24 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 226,310.00","USD 61,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Terreno : 140.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 623,280.00","USD 168,000.00"
TERRENO URBANO EN VENTA,"Ica, Ica, Ica",Área Terreno : 107.56 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 111,300.00","USD 30,000.00"
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Isidro",Área Construida : 70.00 m²,Área Ocupada : 70.00 m²,Pisos : 13,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 3,524.00",USD 950.00
CASA EN CONDOMINIO EN VENTA,"Lima, Lima, Carabayllo",Área Terreno : 25.00 m2,Área Construida : 74.40 m²,Pisos : 4,Habitaciones : 4,Baños : 2,Cocheras : 0,"S/. 259,700.00","USD 70,000.00"
TERRENO URBANO EN VENTA,"Lambayeque, Chiclayo, Pimentel",Área Terreno : 96.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 69,700.00","USD 18,736.00"
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Los Olivos",Área Construida : 106.24 m²,Área Ocupada : 106.24 m²,Pisos : 0,Habitaciones : 4,Baños : 2,Cocheras : 0,"S/. 1,800.00",USD 483.00
TERRENO URBANO EN VENTA,"Ica, Ica, Ica",Área Terreno : 130.68 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 133,560.00","USD 36,000.00"
CASA URBANA EN ALQUILER,"Ica, Ica, Ica",Área Terreno : 135.00 m2,Área Construida : 200.00 m²,Pisos : 3,Habitaciones : 9,Baños : 6,Cocheras : 0,"S/. 5,700.00","USD 1,532.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 88.00 m²,Área Ocupada : 88.00 m²,Pisos : 4,Habitaciones : 3,Baños : 1,Cocheras : 0,"S/. 371,000.00","USD 100,000.00"
LOCAL COMERCIAL EN ALQUILER,"Lima, Lima, San Juan de Lurigancho",Área Construida : 176.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 0,Baños : 1,Cocheras : 0,"S/. 2,000.00",USD 537.00
CASA EN VENTA,"Lima, Cañete, Cerro Azul",Área Terreno : 264.00 m2,Área Construida : 309.76 m²,Pisos : 2,Habitaciones : 4,Baños : 5,Cocheras : 2,"S/. 667,800.00","USD 180,000.00"
